Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Liechtenstein,2018,,367.32,36.73,411.92,2.62,,13.12,5.25,,23.61,425.04,1870.7
Liechtenstein,2019,,278.81,28.66,466.41,0.0,0.0,2.61,5.21,,15.63,463.81,2066.29
Liechtenstein,2020,,152.27,25.81,454.23,2.58,0.0,7.74,10.32,,28.39,343.25,2730.53
Liechtenstein,2021,,284.21,35.85,471.13,,0.0,5.12,5.12,,15.36,471.13,1223.91
Liechtenstein,2022,,351.07,27.98,501.17,0.0,0.0,10.18,5.09,,35.62,646.18,1185.51
Liechtenstein,2023,,468.79,32.76,,0.0,0.0,12.6,15.12,,50.41,617.49,1920.51
Lithuania,2014,,113.54,,,5.27,0.0,5.37,57.35,5.4,10.77,947.69,87.89
Lithuania,2015,,102.66,,,5.75,0.0,5.31,54.43,3.7,9.0,779.9,86.4
Lithuania,2016,2.15,91.98,26.35,99.36,4.92,0.0,3.81,46.46,3.39,7.2,691.11,79.21
Lithuania,2017,3.02,90.94,26.3,105.31,3.97,0.0,4.35,38.2,3.58,7.94,598.33,92.07
Lithuania,2018,1.35,70.6,19.76,99.08,3.45,0.0,4.13,29.26,3.67,7.8,456.87,114.64
Lithuania,2019,2.72,58.73,17.72,106.69,3.01,0.0,3.36,23.8,3.44,6.8,390.17,110.19
Lithuania,2020,11.2,43.81,19.72,96.2,3.54,0.04,2.58,17.14,1.93,4.51,338.11,105.22
Lithuania,2021,12.52,29.4,22.32,117.25,2.5,0.04,2.43,11.09,2.83,5.26,276.71,112.49
Lithuania,2022,12.01,28.94,18.71,141.41,2.21,0.0,2.39,12.19,2.64,5.02,343.12,109.76
Lithuania,2023,5.67,25.41,11.51,,2.41,0.0,3.22,11.9,3.11,6.33,353.27,133.38
Luxembourg,2014,,794.64,,,0.73,9.46,13.28,111.88,65.86,65.31,1866.36,762.26
Luxembourg,2015,,374.98,,,0.89,9.41,12.08,98.41,51.16,58.26,1632.98,830.43
Luxembourg,2016,0.87,328.33,0.87,171.63,0.87,8.68,18.39,79.65,,45.64,1727.38,690.85
Luxembourg,2017,0.17,342.66,0.17,99.55,0.34,7.79,14.22,76.86,,39.45,1708.24,454.23
Luxembourg,2018,0.5,609.13,0.5,107.31,0.5,5.98,12.62,74.58,,37.71,1712.94,498.83
Luxembourg,2019,0.16,575.18,0.16,121.19,0.65,7.17,18.9,74.44,,48.22,1616.73,690.35
Luxembourg,2020,0.8,476.6,0.8,235.58,0.32,6.71,16.61,75.39,,46.16,1478.66,737.73
Luxembourg,2021,0.63,489.34,0.63,362.2,0.47,5.83,17.33,93.74,,54.83,1717.58,594.43
Luxembourg,2022,0.0,633.72,0.0,726.53,1.39,8.06,20.3,101.02,,60.74,2520.0,555.63
Luxembourg,2023,,601.23,,,0.61,,22.09,86.71,,46.16,3369.81,473.51
Malta,2014,,289.92,,,1.41,0.0,2.59,44.67,15.52,18.1,1574.9,44.71
Malta,2015,,236.76,,,0.93,0.0,5.36,55.04,18.87,24.22,1676.18,35.71
Malta,2016,0.22,239.33,1.11,111.01,1.11,0.0,5.99,57.5,13.54,19.54,1661.58,48.18
Malta,2017,0.22,275.26,0.65,170.98,1.96,0.0,4.13,43.88,12.82,16.95,1474.27,67.35
Malta,2018,0.42,254.57,1.68,216.94,1.26,0.0,3.78,43.72,15.77,19.55,1073.99,73.16
Malta,2019,0.2,257.31,0.81,166.55,0.81,0.0,6.28,35.25,17.83,24.11,1050.94,32.21
Malta,2020,0.19,201.34,3.11,157.8,1.17,0.0,3.3,24.88,13.99,17.3,663.47,32.65
Malta,2021,1.16,169.15,5.04,460.57,0.39,0.0,6.2,19.57,20.54,26.74,678.94,117.61
Malta,2022,0.96,171.99,4.41,299.82,1.54,0.0,7.49,25.34,19.58,27.06,687.95,40.56
Malta,2023,0.74,154.78,14.21,,0.37,0.0,11.62,32.47,17.34,28.96,685.54,36.9
Montenegro,2014,,153.01,,,3.06,0.0,0.8,30.25,4.18,4.99,143.52,28.8
Montenegro,2015,,150.94,,,2.73,0.0,0.8,25.08,3.38,4.18,132.94,29.58
Montenegro,2016,3.21,136.13,12.86,7.88,3.86,0.32,0.32,20.57,2.57,3.54,81.32,33.11
Montenegro,2017,0.64,145.09,12.21,,1.77,0.0,1.61,18.96,1.12,3.7,80.82,37.12
Montenegro,2018,0.64,109.42,38.88,0.96,2.09,0.0,1.29,19.76,2.09,3.7,70.7,39.53
Montenegro,2019,0.16,100.29,27.64,7.23,3.38,0.32,0.64,15.27,4.5,5.95,66.38,47.74
Montenegro,2020,0.96,70.59,24.76,9.33,2.57,,1.45,7.72,2.25,4.34,51.46,45.19
Montenegro,2021,1.29,74.11,28.68,6.44,2.26,0.32,1.29,9.34,3.87,5.8,54.29,55.9
Montenegro,2022,1.94,74.8,54.4,6.31,1.13,0.16,2.59,7.61,3.24,6.48,55.04,50.67
Montenegro,2023,1.46,71.83,16.86,,0.81,0.16,2.43,4.38,4.05,6.49,53.84,61.78
Netherlands,2014,,614.2,,,0.86,2.47,7.25,62.09,10.78,25.49,2171.04,90.28
Netherlands,2015,,571.51,,,0.71,2.57,7.48,57.57,10.12,24.61,1982.87,81.8
Netherlands,2016,,498.29,40.67,371.04,0.64,2.47,9.04,52.89,13.05,27.89,1790.76,73.33
Netherlands,2017,,437.29,39.46,,0.92,2.34,10.3,46.69,12.88,28.13,1516.82,68.61
Netherlands,2018,,367.26,38.59,,0.69,2.47,11.29,45.31,13.82,30.0,1361.88,72.64
Netherlands,2019,,341.1,38.22,,0.72,2.95,11.89,49.7,12.99,24.88,1353.19,80.57
Netherlands,2020,,286.34,33.84,,0.7,2.99,11.86,41.96,11.23,23.09,1176.15,73.53
